id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27979885,City Centre Elegant Artist's Studio with veranda,62109482,Sophia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98604,23.73367,Entire home/apt,40,2,37,2019-04-12,5.07,2,208
27979953,Brand New Modern Studio near Gazi - Athens,181995296,Ziv,,ΚΕΡΑΜΕΙΚΟΣ,37.98232,23.71543,Entire home/apt,23,2,4,2019-04-03,0.55,1,340
27981144,AthensCenterApartment1,35579479,Evagelos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99028,23.72242,Entire home/apt,29,1,14,2019-01-20,1.88,1,289
27985395,Acropolis View Apartment,169829620,Lefteris,,ΘΗΣΕΙΟ,37.97692,23.71864,Entire home/apt,75,2,1,2019-04-07,1,2,309
27991464,"Attica Blue 2BR central Athens, near Megaron metro by JJ Hospitality",55670751,Jj,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98411,23.75578,Entire home/apt,52,1,1,2018-10-21,0.17,42,346
27994623,AS Athens Design Apartmant 1A,57151032,Aris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.98001,23.72744,Entire home/apt,39,1,24,2019-03-25,3.65,5,167
27997330,"Sisini 2, central apartment",211456546,Maria,,ΙΛΙΣΙΑ,37.97526,23.75292,Entire home/apt,100,2,0,,,1,365
27998460,95m2-5th floor Apt in the center of Athens.,211329815,Nireas,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98672,23.73779,Entire home/apt,30,1,19,2019-01-20,2.49,1,41
27999211,Happy Minimal Apartment,135482892,Home,,ΑΝΩ ΠΑΤΗΣΙΑ,38.02302,23.73689,Entire home/apt,58,1,5,2019-03-03,1.72,83,358
28001010,Acropolis View top floor apt Tositsa In Exarchia,79843310,Kostis,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98717,23.73483,Entire home/apt,44,4,6,2019-03-06,0.82,1,180
28003065,Be My Guest Athens - Economy Double Room,138097567,Maria,,ΘΗΣΕΙΟ,37.9758,23.71691,Private room,50,1,0,,,9,123
28003137,LuckLyc,175096062,Lina,,ΛΥΚΑΒΗΤΤΟΣ,37.98395,23.75156,Entire home/apt,80,1,0,,,2,253
28003301,Explore Athens from a Renovated 1860s Home,211498337,Rachel,,ΘΗΣΕΙΟ,37.97566,23.72005,Entire home/apt,100,2,8,2019-04-09,1.26,2,234
